lat,lon,avg_score
38.67,30.0,0.46726
39.0,30.33,0.44897
39.0,29.67,0.43501
39.33,30.33,0.40866
39.33,29.67,0.39235
38.67,30.33,0.47956
38.67,29.67,0.46373
39.33,31.0,0.46226
38.67,31.0,0.51989
39.0,31.33,0.508
39.0,30.67,0.49165
39.33,31.33,0.46548
39.33,30.67,0.44203
38.67,31.33,0.52853
38.67,30.67,0.50997
39.33,32.0,0.51836
38.67,32.0,0.56776
39.0,32.33,0.55593
39.0,31.67,0.54585
39.33,32.33,0.51736
39.33,31.67,0.50147
38.67,32.33,0.5748
38.67,31.67,0.56026
39.33,33.0,0.54232
38.67,33.0,0.59285
39.0,33.33,0.57089
39.0,32.67,0.56801
39.33,33.33,0.53925
39.33,32.67,0.53395
38.67,33.33,0.59646
38.67,32.67,0.59144
39.33,34.0,0.54451
38.67,34.0,0.59235
39.0,34.33,0.57004
39.0,33.67,0.57277
39.33,34.33,0.53599
39.33,33.67,0.541
38.67,34.33,0.59188
38.67,33.67,0.59697
39.33,35.0,0.51913
38.67,35.0,0.57577
39.0,35.33,0.55164
39.0,34.67,0.55746
39.33,35.33,0.50448
39.33,34.67,0.51838
38.67,35.33,0.57423
38.67,34.67,0.5797
39.33,36.0,0.48386
38.67,36.0,0.5599
39.0,36.33,0.53392
39.0,35.67,0.53633
39.33,36.33,0.46904
39.33,35.67,0.481
38.67,36.33,0.5621
38.67,35.67,0.56274
39.33,37.0,0.4696
38.67,37.0,0.56174
39.0,37.33,0.536
39.0,36.67,0.53768
39.33,37.33,0.45069
39.33,36.67,0.45629
38.67,37.33,0.55666
38.67,36.67,0.55906
39.33,38.0,0.45498
38.67,38.0,0.54376
39.0,38.33,0.51831
39.0,37.67,0.52349
39.33,38.33,0.43819
39.33,37.67,0.4415
38.67,38.33,0.53845
38.67,37.67,0.54615
39.33,39.0,0.45298
38.67,39.0,0.53389
39.0,39.33,0.51461
39.0,38.67,0.50784
39.33,39.33,0.45019
39.33,38.67,0.43925
38.67,39.33,0.54048
38.67,38.67,0.5344
39.33,40.0,0.5135
38.67,40.0,0.57853
39.0,40.33,0.5753
39.0,39.67,0.56003
39.33,40.33,0.51211
39.33,39.67,0.4864
38.67,40.33,0.5797
