lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR
41.06,29.41,0.321,0.5275,0.353,0.337
41.06,29.44,0.321,0.5275,0.353,0.337
41.06,29.47,0.321,0.5275,0.353,0.337
41.06,29.5,0.321,0.5275,0.353,0.337
41.06,29.53,0.321,0.5275,0.353,0.337
41.06,29.56,0.321,0.5275,0.353,0.337
41.06,29.59,0.321,0.5275,0.353,0.337
41.06,29.62,0.321,0.5275,0.353,0.337
41.06,29.65,0.321,0.5275,0.353,0.337
41.06,29.68,0.321,0.5275,0.353,0.337
41.06,29.71,0.321,0.5275,0.353,0.418
41.06,29.74,0.321,0.5275,0.353,0.418
41.06,29.77,0.321,0.5275,0.353,0.418
41.06,29.8,0.321,0.5275,0.353,0.418
41.06,29.83,0.321,0.5275,0.353,0.418
41.06,29.86,0.321,0.5275,0.353,0.418
41.08,28.0,0.319,0.5225,0.309,0.301
41.08,28.03,0.319,0.5225,0.309,0.301
41.08,28.06,0.319,0.5225,0.309,0.301
41.08,28.09,0.319,0.5225,0.309,0.301
41.08,28.12,0.319,0.5225,0.309,0.301
41.08,28.15,0.319,0.5225,0.309,0.301
41.08,28.18,0.319,0.5225,0.309,0.301
41.08,28.21,0.319,0.5225,0.309,0.301
41.08,28.24,0.319,0.5225,0.309,0.301
41.08,28.27,0.319,0.5225,0.309,0.301
41.08,28.3,0.319,0.5225,0.309,0.301
41.08,28.33,0.319,0.5225,0.309,0.301
41.08,28.36,0.319,0.5225,0.309,0.301
41.08,28.39,0.319,0.5225,0.309,0.301
41.08,28.42,0.319,0.5225,0.309,0.301
41.08,28.45,0.319,0.5225,0.309,0.298
41.08,28.48,0.319,0.5225,0.309,0.298
41.08,28.51,0.319,0.5225,0.309,0.298
41.08,28.54,0.319,0.5225,0.309,0.298
41.08,28.57,0.319,0.5225,0.309,0.298
41.08,28.6,0.319,0.5225,0.309,0.298
41.08,28.63,0.319,0.5225,0.309,0.298
41.08,28.66,0.319,0.5225,0.309,0.298
41.08,28.69,0.319,0.5225,0.309,0.298
41.08,28.72,0.319,0.5225,0.309,0.298
41.08,28.75,0.319,0.5225,0.309,0.298
41.08,28.78,0.319,0.5225,0.309,0.298
41.08,28.81,0.319,0.5225,0.309,0.298
41.08,28.84,0.319,0.5225,0.309,0.298
41.08,28.87,0.319,0.5225,0.309,0.298
41.08,28.9,0.319,0.5225,0.309,0.298
41.08,28.93,0.319,0.5225,0.309,0.298
41.08,28.96,0.319,0.5225,0.309,0.298
41.08,28.99,0.319,0.5225,0.309,0.298
41.08,29.02,0.321,0.5275,0.353,0.298
41.08,29.05,0.321,0.5275,0.353,0.298
41.08,29.08,0.321,0.5275,0.353,0.337
41.08,29.11,0.321,0.5275,0.353,0.337
41.08,29.14,0.321,0.5275,0.353,0.337
41.08,29.17,0.321,0.5275,0.353,0.337
41.08,29.2,0.321,0.5275,0.353,0.337
41.08,29.23,0.321,0.5275,0.353,0.337
41.08,29.26,0.321,0.5275,0.353,0.337
41.08,29.29,0.321,0.5275,0.353,0.337
41.08,29.32,0.321,0.5275,0.353,0.337
41.08,29.35,0.321,0.5275,0.353,0.337
41.08,29.38,0.321,0.5275,0.353,0.337
41.08,29.41,0.321,0.5275,0.353,0.337
41.08,29.44,0.321,0.5275,0.353,0.337
41.08,29.47,0.321,0.5275,0.353,0.337
41.08,29.5,0.321,0.5275,0.353,0.337
41.08,29.53,0.321,0.5275,0.353,0.337
41.08,29.56,0.321,0.5275,0.353,0.337
41.08,29.59,0.321,0.5275,0.353,0.337
41.08,29.62,0.321,0.5275,0.353,0.337
41.08,29.65,0.321,0.5275,0.353,0.337
41.08,29.68,0.321,0.5275,0.353,0.337
41.08,29.71,0.321,0.5275,0.353,0.418
41.08,29.74,0.321,0.5275,0.353,0.418
41.08,29.77,0.321,0.5275,0.353,0.418
41.08,29.8,0.321,0.5275,0.353,0.418
41.08,29.83,0.321,0.5275,0.353,0.418
41.08,29.86,0.321,0.5275,0.353,0.418
41.08,29.89,0.321,0.5275,0.353,0.418
41.1,28.0,0.319,0.5225,0.309,0.301
41.1,28.03,0.319,0.5225,0.309,0.301
41.1,28.06,0.319,0.5225,0.309,0.301
41.1,28.09,0.319,0.5225,0.309,0.301
41.1,28.12,0.319,0.5225,0.309,0.301
41.1,28.15,0.319,0.5225,0.309,0.301
41.1,28.18,0.319,0.5225,0.309,0.301
41.1,28.21,0.319,0.5225,0.309,0.301
41.1,28.24,0.319,0.5225,0.309,0.301
41.1,28.27,0.319,0.5225,0.309,0.301
41.1,28.3,0.319,0.5225,0.309,0.301
41.1,28.33,0.319,0.5225,0.309,0.301
41.1,28.36,0.319,0.5225,0.309,0.301
41.1,28.39,0.319,0.5225,0.309,0.301
41.1,28.42,0.319,0.5225,0.309,0.301
41.1,28.45,0.319,0.5225,0.309,0.298
41.1,28.48,0.319,0.5225,0.309,0.298
41.1,28.51,0.319,0.5225,0.309,0.298
41.1,28.54,0.319,0.5225,0.309,0.298
41.1,28.57,0.319,0.5225,0.309,0.298
41.1,28.6,0.319,0.5225,0.309,0.298
41.1,28.63,0.319,0.5225,0.309,0.298
41.1,28.66,0.319,0.5225,0.309,0.298
41.1,28.69,0.319,0.5225,0.309,0.298
41.1,28.72,0.319,0.5225,0.309,0.298
41.1,28.75,0.319,0.5225,0.309,0.298
41.1,28.78,0.319,0.5225,0.309,0.298
41.1,28.81,0.319,0.5225,0.309,0.298
41.1,28.84,0.319,0.5225,0.309,0.298
41.1,28.87,0.319,0.5225,0.309,0.298
41.1,28.9,0.319,0.5225,0.309,0.298
41.1,28.93,0.319,0.5225,0.309,0.298
41.1,28.96,0.319,0.5225,0.309,0.298
41.1,28.99,0.319,0.5225,0.309,0.298
41.1,29.02,0.321,0.5275,0.353,0.298
41.1,29.05,0.321,0.5275,0.353,0.298
41.1,29.08,0.321,0.5275,0.353,0.337
41.1,29.11,0.321,0.5275,0.353,0.337
41.1,29.14,0.321,0.5275,0.353,0.337
41.1,29.17,0.321,0.5275,0.353,0.337
41.1,29.2,0.321,0.5275,0.353,0.337
41.1,29.23,0.321,0.5275,0.353,0.337
41.1,29.26,0.321,0.5275,0.353,0.337
41.1,29.29,0.321,0.5275,0.353,0.337
41.1,29.32,0.321,0.5275,0.353,0.337
41.1,29.35,0.321,0.5275,0.353,0.337
41.1,29.38,0.321,0.5275,0.353,0.337
41.1,29.41,0.321,0.5275,0.353,0.337
41.1,29.44,0.321,0.5275,0.353,0.337
41.1,29.47,0.321,0.5275,0.353,0.337
41.1,29.5,0.321,0.5275,0.353,0.337
41.1,29.53,0.321,0.5275,0.353,0.337
41.1,29.56,0.321,0.5275,0.353,0.337
41.1,29.59,0.321,0.5275,0.353,0.337
41.1,29.62,0.321,0.5275,0.353,0.337
41.1,29.65,0.321,0.5275,0.353,0.337
41.1,29.68,0.321,0.5275,0.353,0.337
41.1,29.71,0.321,0.5275,0.353,0.418
41.1,29.74,0.321,0.5275,0.353,0.418
41.1,29.77,0.321,0.5275,0.353,0.418
41.1,29.8,0.321,0.5275,0.353,0.418
41.1,29.83,0.321,0.5275,0.353,0.418
41.1,29.86,0.321,0.5275,0.353,0.418
41.1,29.89,0.321,0.5275,0.353,0.418
41.12,28.0,0.319,0.5225,0.309,0.301
41.12,28.03,0.319,0.5225,0.309,0.301
41.12,28.06,0.319,0.5225,0.309,0.301
41.12,28.09,0.319,0.5225,0.309,0.301
41.12,28.12,0.319,0.5225,0.309,0.301
41.12,28.15,0.319,0.5225,0.309,0.301
41.12,28.18,0.319,0.5225,0.309,0.301
41.12,28.21,0.319,0.5225,0.309,0.301
41.12,28.24,0.319,0.5225,0.309,0.301
41.12,28.27,0.319,0.5225,0.309,0.301
41.12,28.3,0.319,0.5225,0.309,0.301
41.12,28.33,0.319,0.5225,0.309,0.301
41.12,28.36,0.319,0.5225,0.309,0.301
41.12,28.39,0.319,0.5225,0.309,0.301
41.12,28.42,0.319,0.5225,0.309,0.301
41.12,28.45,0.319,0.5225,0.309,0.298
41.12,28.48,0.319,0.5225,0.309,0.298
41.12,28.51,0.319,0.5225,0.309,0.298
41.12,28.54,0.319,0.5225,0.309,0.298
41.12,28.57,0.319,0.5225,0.309,0.298
41.12,28.6,0.319,0.5225,0.309,0.298
41.12,28.63,0.319,0.5225,0.309,0.298
41.12,28.66,0.319,0.5225,0.309,0.298
41.12,28.69,0.319,0.5225,0.309,0.298
41.12,28.72,0.319,0.5225,0.309,0.298
41.12,28.75,0.319,0.5225,0.309,0.298
41.12,28.78,0.319,0.5225,0.309,0.298
41.12,28.81,0.319,0.5225,0.309,0.298
41.12,28.84,0.319,0.5225,0.309,0.298
41.12,28.87,0.319,0.5225,0.309,0.298
41.12,28.9,0.319,0.5225,0.309,0.298
41.12,28.93,0.319,0.5225,0.309,0.298
41.12,28.96,0.319,0.5225,0.309,0.298
41.12,28.99,0.319,0.5225,0.309,0.298
41.12,29.02,0.321,0.5275,0.353,0.298
41.12,29.05,0.321,0.5275,0.353,0.298
41.12,29.11,0.321,0.5275,0.353,0.337
41.12,29.14,0.321,0.5275,0.353,0.337
41.12,29.17,0.321,0.5275,0.353,0.337
41.12,29.2,0.321,0.5275,0.353,0.337
41.12,29.23,0.321,0.5275,0.353,0.337
41.12,29.26,0.321,0.5275,0.353,0.337
41.12,29.29,0.321,0.5275,0.353,0.337
41.12,29.32,0.321,0.5275,0.353,0.337
41.12,29.35,0.321,0.5275,0.353,0.337
41.12,29.38,0.321,0.5275,0.353,0.337
41.12,29.41,0.321,0.5275,0.353,0.337
41.12,29.44,0.321,0.5275,0.353,0.337
41.12,29.47,0.321,0.5275,0.353,0.337
41.12,29.5,0.321,0.5275,0.353,0.337
41.12,29.53,0.321,0.5275,0.353,0.337
41.12,29.56,0.321,0.5275,0.353,0.337
41.12,29.59,0.321,0.5275,0.353,0.337
41.12,29.62,0.321,0.5275,0.353,0.337
41.12,29.65,0.321,0.5275,0.353,0.337
41.12,29.68,0.321,0.5275,0.353,0.337
41.12,29.71,0.321,0.5275,0.353,0.418
41.12,29.74,0.321,0.5275,0.353,0.418
41.12,29.77,0.321,0.5275,0.353,0.418
41.12,29.8,0.321,0.5275,0.353,0.418
41.12,29.83,0.321,0.5275,0.353,0.418
41.12,29.86,0.321,0.5275,0.353,0.418
41.12,29.89,0.321,0.5275,0.353,0.418
41.14,28.0,0.319,0.5225,0.309,0.301
41.14,28.03,0.319,0.5225,0.309,0.301
41.14,28.06,0.319,0.5225,0.309,0.301
41.14,28.09,0.319,0.5225,0.309,0.301
41.14,28.12,0.319,0.5225,0.309,0.301
41.14,28.15,0.319,0.5225,0.309,0.301
41.14,28.18,0.319,0.5225,0.309,0.301
41.14,28.21,0.319,0.5225,0.309,0.301
41.14,28.24,0.319,0.5225,0.309,0.301
41.14,28.27,0.319,0.5225,0.309,0.301
41.14,28.3,0.319,0.5225,0.309,0.301
41.14,28.33,0.319,0.5225,0.309,0.301
41.14,28.36,0.319,0.5225,0.309,0.301
41.14,28.39,0.319,0.5225,0.309,0.301
41.14,28.42,0.319,0.5225,0.309,0.301
41.14,28.45,0.319,0.5225,0.309,0.298
41.14,28.48,0.319,0.5225,0.309,0.298
41.14,28.51,0.319,0.5225,0.309,0.298
41.14,28.54,0.319,0.5225,0.309,0.298
41.14,28.57,0.319,0.5225,0.309,0.298
41.14,28.6,0.319,0.5225,0.309,0.298
41.14,28.63,0.319,0.5225,0.309,0.298
41.14,28.66,0.319,0.5225,0.309,0.298
41.14,28.69,0.319,0.5225,0.309,0.298
41.14,28.72,0.319,0.5225,0.309,0.298
41.14,28.75,0.319,0.5225,0.309,0.298
41.14,28.78,0.319,0.5225,0.309,0.298
41.14,28.81,0.319,0.5225,0.309,0.298
41.14,28.84,0.319,0.5225,0.309,0.298
41.14,28.87,0.319,0.5225,0.309,0.298
41.14,28.9,0.319,0.5225,0.309,0.298
41.14,28.93,0.319,0.5225,0.309,0.298
41.14,28.96,0.319,0.5225,0.309,0.298
41.14,28.99,0.319,0.5225,0.309,0.298
41.14,29.02,0.321,0.5275,0.353,0.298
41.14,29.05,0.321,0.5275,0.353,0.298
41.14,29.08,0.321,0.5275,0.353,0.337
41.14,29.11,0.321,0.5275,0.353,0.337
41.14,29.14,0.321,0.5275,0.353,0.337
41.14,29.17,0.321,0.5275,0.353,0.337
41.14,29.2,0.321,0.5275,0.353,0.337
41.14,29.23,0.321,0.5275,0.353,0.337
41.14,29.26,0.321,0.5275,0.353,0.337
41.14,29.29,0.321,0.5275,0.353,0.337
41.14,29.32,0.321,0.5275,0.353,0.337
41.14,29.35,0.321,0.5275,0.353,0.337
41.14,29.38,0.321,0.5275,0.353,0.337
41.14,29.41,0.321,0.5275,0.353,0.337
41.14,29.44,0.321,0.5275,0.353,0.337
41.14,29.47,0.321,0.5275,0.353,0.337
41.14,29.5,0.321,0.5275,0.353,0.337
41.14,29.53,0.321,0.5275,0.353,0.337
41.14,29.56,0.321,0.5275,0.353,0.337
41.14,29.59,0.321,0.5275,0.353,0.337
41.14,29.62,0.321,0.5275,0.353,0.337
41.14,29.65,0.321,0.5275,0.353,0.337
41.14,29.68,0.321,0.5275,0.353,0.337
41.14,29.71,0.321,0.5275,0.353,0.418
41.14,29.74,0.321,0.5275,0.353,0.418
41.14,29.77,0.321,0.5275,0.353,0.418
41.14,29.8,0.321,0.5275,0.353,0.418
41.14,29.86,0.321,0.5275,0.353,0.418
41.14,29.89,0.321,0.5275,0.353,0.418
41.16,28.0,0.319,0.5225,0.309,0.301
41.16,28.03,0.319,0.5225,0.309,0.301
41.16,28.06,0.319,0.5225,0.309,0.301
41.16,28.09,0.319,0.5225,0.309,0.301
41.16,28.12,0.319,0.5225,0.309,0.301
41.16,28.15,0.319,0.5225,0.309,0.301
41.16,28.18,0.319,0.5225,0.309,0.301
41.16,28.21,0.319,0.5225,0.309,0.301
41.16,28.24,0.319,0.5225,0.309,0.301
41.16,28.27,0.319,0.5225,0.309,0.301
41.16,28.3,0.319,0.5225,0.309,0.301
41.16,28.33,0.319,0.5225,0.309,0.301
41.16,28.36,0.319,0.5225,0.309,0.301
41.16,28.39,0.319,0.5225,0.309,0.301
41.16,28.42,0.319,0.5225,0.309,0.301
41.16,28.45,0.319,0.5225,0.309,0.298
41.16,28.48,0.319,0.5225,0.309,0.298
