lat,lon,score_202001,score_202002,score_202003,score_202004,score_202005,score_202006,score_202007,score_202008,score_202009,score_202010,score_202011,score_202012,score_202101,score_202102,score_202103,score_202104,score_202105,score_202106,score_202107,score_202108,score_202109,score_202110,score_202111,score_202112,score_202201,score_202202,score_202203,score_202204,score_202205,score_202206,score_202207,score_202208,score_202209,score_202210,score_202211,score_202212,score_202301,score_202302,score_202303,score_202304,score_202305,score_202306,score_202307,score_202308,score_202309,score_202310,score_202311,score_202312,avg_score
38.0,36.0,0.58353,0.69396,0.15489,0.58456,0.56223,0.61512,0.93591,1.04613,0.92948,1.03636,0.79553,0.74114,0.64394,1.01864,0.33585,0.40398,0.69361,0.62958,0.96426,0.73976,0.8254,0.93502,0.75406,0.72072,0.69693,0.54988,0.30121,0.58498,0.19361,0.62272,1.03541,0.95834,0.89558,0.86849,0.49176,0.45641,0.78626,0.91333,0.17044,0.43092,0.65129,0.44177,1.00044,1.05999,1.01171,0.69993,0.69244,0.54588,0.6959
38.0,37.0,0.42131,0.62159,0.1796,0.63538,0.66715,0.78865,0.93087,1.08662,0.87579,1.04328,0.71711,0.64856,0.54344,0.87366,0.39796,0.55188,0.90749,0.78151,1.02068,0.84431,0.92253,0.94483,0.77167,0.67027,0.53799,0.52977,0.35153,0.63914,0.37154,0.76897,1.09284,0.9992,0.87661,0.89147,0.35868,0.41615,0.68256,0.86102,0.14755,0.52672,0.80661,0.68774,1.07988,1.07382,1.06666,0.64846,0.75158,0.52184,0.71947
38.0,38.0,0.14265,0.17981,0.18261,0.64207,0.66453,0.87056,0.90107,1.07246,0.86874,1.01836,0.6168,0.53928,0.25698,0.66919,0.50365,0.68776,1.00769,0.87938,0.98615,0.85676,0.9752,0.9642,0.73481,0.54947,-0.11089,0.36563,0.29422,0.66831,0.4854,0.88196,1.05926,1.00696,0.84328,0.88715,0.25644,0.47424,0.21207,0.67976,0.08068,0.49411,0.80339,0.87902,1.0646,1.05141,1.08315,0.67391,0.59112,0.33692,0.66317
38.0,39.0,0.14073,-0.12404,0.1015,0.49481,0.62648,0.92993,0.88676,1.07239,0.87676,1.00997,0.57444,0.6927,0.23528,0.70184,0.45904,0.78471,1.07245,0.95843,1.02679,0.83386,1.01121,0.94178,0.66138,0.56547,-0.01298,0.28429,0.26849,0.72236,0.56437,0.97721,1.06362,1.03219,0.89982,0.85479,0.26988,0.53634,0.43525,0.57078,0.07978,0.55084,0.86006,0.98529,1.06109,1.0203,1.05954,0.65824,0.55115,0.39188,0.67123
38.0,40.0,0.26776,-0.07247,-0.14879,0.3213,0.5405,0.91003,0.7797,0.98498,0.88347,1.00039,0.57124,0.7368,0.44338,0.51744,0.28786,0.80397,0.974,0.96182,0.89952,0.79126,1.00018,0.875,0.71813,0.54518,0.24685,0.39926,-0.03853,0.68876,0.44203,0.95639,1.01144,1.02138,0.80751,0.81886,0.35189,0.76777,0.73643,0.50736,0.01155,0.43219,0.81716,0.93033,0.97577,0.94515,0.93262,0.63208,0.4893,0.37711,0.64278
38.0,41.0,0.21857,0.06313,-0.33274,0.15698,0.46613,0.89687,0.77176,0.96599,0.98333,1.06065,0.55027,0.63067,0.4703,0.29194,-0.03603,0.78636,0.91071,1.03516,0.97712,0.86758,1.03048,0.83626,0.73936,0.42652,0.28198,0.43344,0.03834,0.62793,0.38371,1.01404,1.03825,1.07246,0.83817,0.77727,0.40807,0.94465,0.66559,0.48062,-0.00938,0.25447,0.71363,0.93678,0.97921,0.97146,0.87126,0.46369,0.52416,0.34818,0.62136
38.0,42.0,0.30128,-0.07427,-0.24824,-0.07996,0.43027,0.87306,0.66481,0.89741,1.01561,1.07428,0.50828,0.71064,0.4862,0.42965,-0.01824,0.60738,0.8199,1.03353,0.91372,0.86927,1.02555,0.78512,0.80333,0.3907,0.36917,0.50395,-0.00737,0.52184,0.26668,1.00316,1.02594,1.07465,0.8616,0.70467,0.54988,0.84485,0.62189,0.5071,0.37336,0.38486,0.5906,0.92874,0.95543,0.96085,0.76995,0.37381,0.54885,0.62659,0.61626
38.0,43.0,0.67355,0.16753,0.13341,0.16008,0.66613,0.98834,0.60616,0.8658,1.07588,1.0182,0.53484,0.93,0.77031,0.69755,0.36686,0.79851,0.78659,1.07846,0.91332,0.87844,1.06903,0.82722,0.95532,0.96778,0.84555,0.7364,0.50501,0.55167,0.3903,1.07245,0.9542,1.05483,0.97641,0.73596,0.73292,0.88937,0.98422,0.58557,0.69163,0.62043,0.68336,0.97048,0.88924,0.92145,0.80091,0.45732,0.57832,0.68665,0.75508
38.0,44.0,0.92326,0.75138,0.02347,-0.01106,0.56273,0.70433,0.40989,0.67139,0.87807,0.81869,0.35459,0.98143,1.05559,0.71313,0.28506,0.7049,0.38027,0.93139,0.58382,0.78144,1.0343,0.73651,0.83602,0.94776,0.85567,0.80901,0.27609,0.39102,0.08399,0.85634,0.85843,0.9649,0.94188,0.68065,0.69358,0.52162,0.93385,0.82986,0.55957,0.54376,0.45091,0.72192,0.61615,0.829,0.57851,0.35358,0.63738,0.66358,0.66062
39.0,27.0,0.22903,0.2664,0.29401,0.50768,0.37174,0.19967,0.82475,0.81776,0.32734,0.15481,0.48069,0.19901,-0.01941,0.20673,-0.00467,0.25091,0.45792,0.36339,0.80184,0.95532,0.67793,0.42883,0.27426,-0.00723,0.47811,-0.03107,0.09968,0.5245,0.92287,0.61958,0.91175,0.41217,0.58991,0.51435,0.3224,0.14333,0.06098,0.37114,0.24357,0.24913,0.07293,0.46309,0.9025,0.40325,0.41843,0.56973,0.07723,0.1717,0.38687
