lat,lon,ALLSKY_SFC_SW_DWN,ALLSKY_KT,CLOUD_AMT,PRECTOTCORR,ALLSKY_SFC_SW_DWN_norm,CLOUD_AMT_norm,PRECTOTCORR_norm
41.02,29.08,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.11,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.14,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.17,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.2,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.23,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.26,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.29,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.32,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.35,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.38,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.41,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.44,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.47,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.5,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.62,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.65,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.68,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.02,29.83,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.04,28.03,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.04,28.42,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.04,28.45,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.48,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.51,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.54,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.6,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.63,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.66,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.69,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.72,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.75,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.78,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.81,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.84,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.87,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.9,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.93,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.96,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,28.99,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.04,29.05,14.62,0.5275,62.865,1.6425,0.0321,0.0353,0.0298
41.04,29.08,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.11,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.14,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.17,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.2,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.23,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.26,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.29,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.32,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.35,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.38,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.41,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.44,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.47,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.5,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.53,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.56,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.59,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.62,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.65,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.68,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.04,29.71,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.04,29.74,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.04,29.77,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.04,29.8,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.04,29.83,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.04,29.86,14.62,0.5275,62.865,2.305,0.0321,0.0353,0.0418
41.06,28.0,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.06,28.03,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.06,28.06,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.06,28.09,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.06,28.12,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.06,28.3,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.06,28.33,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.06,28.36,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.06,28.39,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.06,28.42,14.54,0.5225,54.92,1.66,0.0319,0.0309,0.0301
41.06,28.45,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.48,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.51,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.54,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.57,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.6,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.63,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.66,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.69,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.72,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.75,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.78,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.81,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.84,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.87,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.9,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.93,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.96,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,28.99,14.54,0.5225,54.92,1.6425,0.0319,0.0309,0.0298
41.06,29.02,14.62,0.5275,62.865,1.6425,0.0321,0.0353,0.0298
41.06,29.08,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.11,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.14,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
41.06,29.17,14.62,0.5275,62.865,1.86,0.0321,0.0353,0.0337
