lat,lon
41.08,29.17
41.08,29.2
41.08,29.23
41.08,29.26
41.08,29.29
41.08,29.32
41.08,29.35
41.08,29.38
41.08,29.41
41.08,29.44
41.08,29.47
41.08,29.5
41.08,29.53
41.08,29.56
41.08,29.59
41.08,29.62
41.08,29.65
41.08,29.68
41.08,29.71
41.08,29.74
41.08,29.77
41.08,29.8
41.08,29.83
41.08,29.86
41.08,29.89
41.1,28.0
41.1,28.03
41.1,28.06
41.1,28.09
41.1,28.12
41.1,28.15
41.1,28.18
41.1,28.21
41.1,28.24
41.1,28.27
41.1,28.3
41.1,28.33
41.1,28.36
41.1,28.39
41.1,28.42
41.1,28.45
41.1,28.48
41.1,28.51
41.1,28.54
41.1,28.57
41.1,28.6
41.1,28.63
41.1,28.66
41.1,28.69
41.1,28.72
41.1,28.75
41.1,28.78
41.1,28.81
41.1,28.84
41.1,28.87
41.1,28.9
41.1,28.93
41.1,28.96
41.1,28.99
41.1,29.02
41.1,29.05
41.1,29.08
41.1,29.11
41.1,29.14
41.1,29.17
41.1,29.2
41.1,29.23
41.1,29.26
41.1,29.29
41.1,29.32
41.1,29.35
41.1,29.38
41.1,29.41
41.1,29.44
41.1,29.47
41.1,29.5
41.1,29.53
41.1,29.56
41.1,29.59
41.1,29.62
41.1,29.65
41.1,29.68
41.1,29.71
41.1,29.74
41.1,29.77
41.1,29.8
41.1,29.83
41.1,29.86
41.1,29.89
41.12,28.0
41.12,28.03
41.12,28.06
41.12,28.09
41.12,28.12
41.12,28.15
41.12,28.18
41.12,28.21
41.12,28.24
41.12,28.27
41.12,28.3
41.12,28.33
41.12,28.36
41.12,28.39
41.12,28.42
41.12,28.45
41.12,28.48
41.12,28.51
41.12,28.54
41.12,28.57
41.12,28.6
41.12,28.63
41.12,28.66
41.12,28.69
41.12,28.72
41.12,28.75
41.12,28.78
41.12,28.81
41.12,28.84
41.12,28.87
41.12,28.9
41.12,28.93
41.12,28.96
41.12,28.99
41.12,29.02
41.12,29.05
41.12,29.11
41.12,29.14
41.12,29.17
41.12,29.2
41.12,29.23
41.12,29.26
41.12,29.29
41.12,29.32
41.12,29.35
41.12,29.38
41.12,29.41
41.12,29.44
41.12,29.47
41.12,29.5
41.12,29.53
41.12,29.56
41.12,29.59
41.12,29.62
41.12,29.65
41.12,29.68
41.12,29.71
41.12,29.74
41.12,29.77
41.12,29.8
41.12,29.83
41.12,29.86
41.12,29.89
41.14,28.0
41.14,28.03
41.14,28.06
41.14,28.09
41.14,28.12
41.14,28.15
41.14,28.18
41.14,28.21
41.14,28.24
41.14,28.27
41.14,28.3
41.14,28.33
41.14,28.36
41.14,28.39
41.14,28.42
41.14,28.45
41.14,28.48
41.14,28.51
41.14,28.54
41.14,28.57
41.14,28.6
41.14,28.63
41.14,28.66
41.14,28.69
41.14,28.72
41.14,28.75
41.14,28.78
41.14,28.81
41.14,28.84
41.14,28.87
41.14,28.9
41.14,28.93
41.14,28.96
41.14,28.99
41.14,29.02
41.14,29.05
41.14,29.08
41.14,29.11
41.14,29.14
41.14,29.17
41.14,29.2
41.14,29.23
41.14,29.26
41.14,29.29
41.14,29.32
41.14,29.35
41.14,29.38
41.14,29.41
41.14,29.44
41.14,29.47
41.14,29.5
41.14,29.53
41.14,29.56
41.14,29.59
41.14,29.62
41.14,29.65
41.14,29.68
